year,week_of_year,calls_offered_last_year,calls_offered_avg_last_year,year,week_of_year,calls_handled,calls_abandoned,avg_speed_answer,avg_handle_time,avg_talk,avg_acw,service_level,avg_abandon_time,max_wait_time,day_of_year,day_of_week,calls_offered_last_year,calls_offered_avg_last_year,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,week_day_Monday,week_day_Saturday,week_day_Sunday,week_day_Thursday,week_day_Tuesday,week_day_Wednesday,calls_offered_actual,calls_offered_predicted
2022,35,0.0,0.0,2022,35,1039.0,51.0,94.5,586.5,498.0,88.365,83.43,112.5,1022.0,236,2,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1099.0,1098.314753731573
2023,37,0.0,1358.25,2023,37,1190.0,235.0,347.0,707.0,602.5,104.755,0.43295,358.5,1432.5,254,0,0.0,1358.25,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1431.0,1437.8026905459938
2022,25,0.0,0.0,2022,25,1168.0,27.0,91.0,582.0,490.5,91.4,82.42,146.5,634.0,166,2,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1206.0,1204.2052911911826
2022,10,0.0,0.0,2022,10,1416.0,29.0,43.0,594.0,525.5,68.1,89.65,73.0,390.5,60,1,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1454.0,1456.4250495575238
2023,18,0.0,1358.25,2023,18,1190.0,8.0,18.5,559.0,483.5,75.265,97.19,72.5,419.0,121,0,0.0,1358.25,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1215.0,1210.9793239831984
2024,2,1180.0,885.1346153846154,2024,2,756.0,0.0,11.0,674.0,585.5,89.0,0.9963,0.0,58.0,12,4,1180.0,885.1346153846154,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,758.0,762.0734951935191
2023,24,1317.0,1438.5961538461538,2023,24,939.0,6.0,13.5,500.5,430.5,70.495,0.9905,71.0,158.0,164,1,1317.0,1438.5961538461538,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,957.0,952.7213392785341
2022,7,0.0,0.0,2022,7,1465.0,26.0,39.0,584.0,505.0,78.935,93.47,93.0,439.5,40,2,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1500.0,1502.5633875409094
2023,9,1587.0,1438.5961538461538,2023,9,1354.0,33.0,53.0,527.5,457.0,70.16,91.15,114.5,903.0,59,1,1587.0,1438.5961538461538,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1398.0,1399.3272616855543
2024,2,1447.0,1060.1153846153845,2024,2,816.0,1.0,10.5,728.0,636.5,92.0,0.9903,11.0,41.0,10,2,1447.0,1060.1153846153845,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,823.0,824.2295287546718
2023,33,1168.0,1110.923076923077,2023,33,806.0,13.0,44.0,604.5,511.0,93.015,0.917,125.5,600.0,230,4,1168.0,1110.923076923077,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,824.0,825.4038095758547
2024,31,1131.0,1127.826923076923,2024,31,729.0,6.0,18.0,820.0,726.0,95.0,0.9521,108.0,374.0,212,1,1131.0,1127.826923076923,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,752.0,742.3480706369115
2024,9,1398.0,1060.1153846153845,2024,9,762.0,3.0,10.5,687.5,595.5,91.5,0.98685,29.5,156.5,59,2,1398.0,1060.1153846153845,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,770.0,772.1173386968132
2022,39,0.0,0.0,2022,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267,5,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.0,0.19050045498477175
2024,29,1570.0,885.1346153846154,2024,29,682.0,2.0,15.0,721.0,636.0,85.0,0.974,110.0,351.0,201,4,1570.0,885.1346153846154,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,692.0,689.8378801104876
2022,39,0.0,0.0,2022,39,1199.0,43.0,79.5,559.5,478.0,80.86,85.5,170.5,968.0,262,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1249.0,1252.6369224032437
2022,39,0.0,0.0,2022,39,813.0,18.0,59.0,595.5,505.5,90.39,91.83,277.0,1363.5,266,4,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,836.0,838.4621804861067
2022,45,0.0,0.0,2022,45,929.0,19.0,32.0,587.0,503.5,83.525,95.15,94.5,464.0,308,4,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,957.0,956.2780093730555
2022,29,0.0,0.0,2022,29,1103.0,945.0,1109.0,615.5,544.5,71.15,3.69,552.0,3591.0,193,1,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2055.0,2058.6695498833783
2023,44,0.0,0.0,2023,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302,6,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0.0,0.18623133605396447
2023,1,1278.0,0.09433962264150944,2023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,1278.0,0.09433962264150944,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,-0.6430566575454293
2024,30,1204.0,1060.1153846153845,2024,30,627.0,188.0,552.0,829.0,742.0,86.0,0.1971,275.0,1569.0,206,2,1204.0,1060.1153846153845,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,832.0,822.0158139802902
2024,15,1305.0,1127.826923076923,2024,15,717.0,24.0,46.0,720.5,598.0,123.0,0.8896,243.0,852.5,100,1,1305.0,1127.826923076923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,747.0,748.0489057813013
2023,49,1425.0,1296.8461538461538,2023,49,888.0,29.0,96.33333333,690.3333333,603.3333333,87.39,0.899033333,734.0,1253.333333,340,2,1425.0,1296.8461538461538,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,923.0,926.7821953291148
2022,44,0.0,0.0,2022,44,1244.0,61.0,93.0,616.0,526.5,89.11,79.7,133.0,684.0,297,0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1319.0,1316.214325924892
2022,12,0.0,0.0,2022,12,1441.0,212.0,260.5,578.0,496.5,81.865,50.12,208.5,1003.5,77,4,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1666.0,1664.4505697733198
2023,13,0.0,0.0,2023,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,6,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.7081641284188436
2024,1,1224.0,0.057692307692307696,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,1224.0,0.057692307692307696,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,-0.7689404720726429
2023,43,938.0,0.09433962264150944,2023,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301,5,938.0,0.09433962264150944,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.0,0.0474136802722569
2024,22,830.0,0.057692307692307696,2024,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,5,830.0,0.057692307692307696,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,-0.378696688320332
2024,25,801.0,0.057692307692307696,2024,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174,5,801.0,0.057692307692307696,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,-0.39188133031214534
2023,37,1090.0,1110.923076923077,2023,37,714.0,30.0,66.5,655.5,547.0,108.965,0.89835,221.0,1026.0,258,4,1090.0,1110.923076923077,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,757.0,750.871446114268
2022,10,0.0,0.0,2022,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,5,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.0,0.7228631471314202
2024,9,1347.0,885.1346153846154,2024,9,652.0,41.0,50.0,711.5,616.5,95.5,0.9065,495.0,1413.5,61,4,1347.0,885.1346153846154,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,694.0,699.9018712006109
2023,24,1225.0,1110.923076923077,2023,24,751.0,11.0,40.0,546.5,470.5,75.64,0.9361,90.5,649.0,167,4,1225.0,1110.923076923077,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,765.0,767.9698276374871
2024,9,0.0,1158.1153846153845,2024,9,832.0,13.0,29.0,707.0,616.5,90.5,0.9365,318.0,904.5,57,0,0.0,1158.1153846153845,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,852.0,854.3488367183373
2024,4,1518.0,885.1346153846154,2024,4,680.0,0.0,9.5,668.0,578.0,89.5,0.9902,0.0,122.5,26,4,1518.0,885.1346153846154,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,687.0,685.2619517786811
